fold,test_start,test_end,multiplier,unmanaged_return,managed_return,managed_sharpe
1,1930-10-01,1931-08-01,0.0000518409,-0.2481641901,-0.0894590350,-1.2814117331
2,1931-08-03,1932-06-04,0.0000598684,-0.5889781911,-0.1616764510,-2.7037389190
3,1932-06-06,1933-04-19,0.0000765090,0.3988725620,0.0490520511,0.6979515857
4,1933-04-20,1934-02-26,0.0000929263,0.6093022373,0.0543862324,0.6617132647
5,1934-02-27,1934-12-27,0.0001024992,-0.0946767029,-0.1716154626,-1.0714913605
6,1934-12-28,1935-10-26,0.0001035237,0.3885949859,0.6312547251,2.3859801289
7,1935-10-28,1936-08-27,0.0001020655,0.2771067745,0.5030799240,1.7258191644
8,1936-08-28,1937-07-02,0.0000995269,0.0537585217,0.0438724454,0.3007614326
9,1937-07-06,1938-05-06,0.0000975059,-0.3165437026,-0.2841408625,-1.9821424370
10,1938-05-07,1939-03-09,0.0001016801,0.3076905484,0.0977680423,0.6906494693
11,1939-03-10,1940-01-09,0.0001030146,0.0313345815,-0.0760630385,-0.2843248693
12,1940-01-10,1940-11-07,0.0001029979,-0.0437259504,-0.0440255177,0.1126244068
13,1940-11-08,1941-09-09,0.0000967405,-0.0163292783,0.0212668181,0.2239482088
14,1941-09-10,1942-07-13,0.0000931338,-0.1188132571,-0.2190294175,-0.6145234790
15,1942-07-14,1943-05-14,0.0000898147,0.4281841275,2.8706458411,3.9541926725
16,1943-05-15,1944-03-16,0.0000851968,0.1033383266,0.3044393108,0.9457720299
17,1944-03-17,1945-01-19,0.0000813839,0.1563421988,0.8020248909,1.6541286264
18,1945-01-20,1945-12-07,0.0000762596,0.3766182512,0.5627816257,1.5434324658
19,1945-12-08,1946-11-01,0.0000732831,-0.1059569959,-0.1705308353,-0.9221236020
20,1946-11-02,1947-09-24,0.0000733826,0.0194441775,-0.1436020870,-0.8290082682
21,1947-09-25,1948-08-11,0.0000730726,0.0769635560,-0.0550108703,-0.0744979932
22,1948-08-12,1949-06-28,0.0000713194,-0.0668561814,-0.3776005824,-1.4853058587
23,1949-06-29,1950-05-17,0.0000693757,0.3920663224,1.5224336850,3.6019971067
24,1950-05-18,1951-04-12,0.0000675751,0.2306903494,0.1158721053,0.5794142579
25,1951-04-13,1952-03-05,0.0000665556,0.1184452546,0.2166871779,0.8831776685
26,1952-03-06,1953-02-19,0.0000650374,0.0861264447,0.2512235309,0.8235969120
27,1953-02-20,1954-02-19,0.0000623101,0.0708870118,0.0602025440,0.3560023439
28,1954-02-23,1955-02-18,0.0000609053,0.4582231326,1.0091405879,2.7998579024
29,1955-02-21,1956-02-20,0.0000594944,0.1760813257,-0.6215093338,-0.2773374872
30,1956-02-21,1957-02-20,0.0000488123,0.0174488610,-0.1104748781,-0.6036392226
31,1957-02-21,1958-02-20,0.0000484809,-0.0523593499,0.1840216714,1.0471313482
32,1958-02-21,1959-02-20,0.0000482168,0.4068783168,0.7009326189,3.0796917937
33,1959-02-24,1960-02-19,0.0000477812,0.0136140243,-0.0197873099,-0.0333030804
34,1960-02-23,1961-02-20,0.0000474307,0.1313030568,0.1532406173,0.8847995668
35,1961-02-21,1962-02-21,0.0000470345,0.1322192190,0.2522820278,1.2096877592
36,1962-02-23,1963-02-21,0.0000464407,-0.0679479056,-0.1941316155,-1.3384172076
37,1963-02-25,1964-02-25,0.0000465086,0.1589377415,0.5581112684,2.0132094682
38,1964-02-26,1965-02-24,0.0000457162,0.1224405743,0.3574059269,1.0614661762
