period,n_days,unmanaged_sharpe,managed_sharpe,unmanaged_return,managed_return
1930-1939,2765,0.1650733960,0.2184648996,0.0069240657,0.0227274900
1940-1949,2918,0.6582421463,0.7344604244,0.0779869782,0.1996980308
1950-1959,2598,1.4998028785,0.6763997767,0.1566146003,0.1393349299
1960-1969,2489,0.4751299529,0.4362759782,0.0430925445,0.0739509510
1970-1979,2526,0.0501631602,0.0348040377,-0.0021451495,-0.0033160573
1980-1989,2528,0.5392455154,0.6242118309,0.0732193178,0.0694751346
1990-1999,2528,0.9454263578,0.8605626685,0.1242241833,0.1121974826
2000-2009,2515,-0.0281223195,-0.0731542524,-0.0306680452,-0.0118460421
2010-2019,2516,0.8823595413,0.5880398688,0.1304313748,0.0798157796
2020-2026,1565,0.5810917925,0.4118108082,0.1059175536,0.0422769860
